Datetime,PM2.5_Mean,Visibility,RH,Temperature,WindSpeed,BLH
2024-01-05 19:00:00,171.52689655172412,1094.35392,93.6,12.0,2.57048,75.21206
2024-01-05 20:00:00,161.9789655172414,997.79328,93.6,12.0,1.542288,82.598526
2024-01-05 21:00:00,156.70000000000002,997.79328,93.6,12.0,2.056384,81.44835
2024-01-05 22:00:00,152.0651724137931,997.79328,93.55,11.0,1.542288,66.807045
2024-01-05 23:00:00,141.5644827586207,997.79328,93.55,11.0,2.056384,75.41482
2024-01-06 00:00:00,130.06655172413795,997.79328,93.55,11.0,1.542288,89.97908
2024-01-06 01:00:00,120.3651724137931,997.79328,87.47,11.0,1.542288,107.981544
2024-01-06 02:00:00,111.83655172413792,997.79328,93.5,10.0,2.056384,131.64676
2024-01-06 03:00:00,108.88413793103447,1094.35392,87.47,11.0,1.542288,189.38329
2024-01-06 04:00:00,111.7796551724138,1207.008,87.56,12.0,1.028192,328.5582
2024-01-06 05:00:00,114.40310344827589,1303.5686400000002,81.99,13.0,1.028192,586.73975
2024-01-06 06:00:00,119.5803448275862,1303.5686400000002,81.99,13.0,1.542288,804.97186
2024-01-06 07:00:00,126.83827586206895,1303.5686400000002,71.83,14.0,1.028192,968.2068
2024-01-06 08:00:00,131.22464285714287,1303.5686400000002,71.83,14.0,1.542288,1034.9797
2024-01-06 09:00:00,144.6334482758621,1303.5686400000002,71.83,14.0,1.542288,1028.802
2024-01-06 10:00:00,162.2948275862069,1496.68992,67.33,15.0,2.056384,979.20844
2024-01-06 11:00:00,173.68678571428572,1496.68992,67.12,14.0,2.57048,923.731
2024-01-06 12:00:00,191.4010714285714,1496.68992,81.99,13.0,2.056384,337.94638
2024-01-06 13:00:00,197.09392857142856,1496.68992,81.99,13.0,2.056384,53.62746
2024-01-06 14:00:00,214.7042857142857,1496.68992,81.99,13.0,3.084576,30.00699
2024-01-06 15:00:00,201.4851724137931,1496.68992,87.56,12.0,2.056384,24.843086
2024-01-06 16:00:00,205.81586206896552,1496.68992,87.56,12.0,1.542288,28.538965
2024-01-06 17:00:00,211.1334482758621,1207.008,87.47,11.0,1.542288,29.478548
2024-01-06 18:00:00,219.11896551724135,1207.008,87.37,10.0,1.542288,28.689238
2024-01-06 19:00:00,221.85827586206892,997.79328,93.45,9.0,1.542288,27.131844
